Date,Type,Description,Category,Amount,Balance,Note
12-31-2025,"Deposit","INTEREST PAID","",0.38,4098.36,""
12-10-2025,"Priority Post Debit","3500 VSA PMT DB ZEFFY DEPTAL VFW ZEFFY.COM DE","",-180,4097.98,""
11-28-2025,"Deposit","INTEREST PAID","",0.33,4277.98,""
11-03-2025,"On-Us Check","CK # 3773","",-200,4277.65,""
10-31-2025,"Deposit","INTEREST PAID","",0.4,4477.65,""
10-27-2025,"Priority Post Debit","3500 VSA PUR VOIP.MS VOIP.MS TERREBONNE CA","",-15,4477.25,""
10-27-2025,"Miscellaneous Charge","3500 CROSS BORDER FEE VOIP.MS VOIP.MS TERREBONNE CA","",-0.15,4492.25,""
10-23-2025,"On-Us Check","CK # 3772","",-334,4492.4,""
10-16-2025,"Priority Post Debit","3500 VSA PUR TALLMAN INSURANCE AGEN KANSAS CITY MO","",-41.4,4826.4,""
10-06-2025,"On-Us Check","CK # 3764","",-100,4867.8,""
10-02-2025,"Deposit","VETERANS OF WARS PAYMENT","",10,4967.8,""
09-30-2025,"Deposit","INTEREST PAID","",0.23,4957.8,""
09-29-2025,"Credit Memo; Immediate Credit","INTERNET TRANSFER FROM CHK 2364 TO CHK 1288 4604456","",3000,4957.57,""
09-11-2025,"On-Us Check","CK # 3770","",-1000,1957.57,""
09-09-2025,"Priority Post Debit","3500 VSA PUR TALLMAN INSURANCE AGEN KANSAS CITY MO","",-786.6,2957.57,""
09-09-2025,"Deposit","VETERANS OF WARS PAYMENT","",452.9,3744.17,""
09-02-2025,"Priority Post Debit","3500 VSA PUR RAILROAD THAI MONTGOMERY AL","",-62.58,3291.27,""
09-02-2025,"Priority Post Debit","3500 VSA PUR MARATHON PETRO232157 RAINBOW CITY AL","",-39.28,3353.85,""
09-02-2025,"Deposit","VETERANS OF WARS PAYMENT","",10,3393.13,""
08-29-2025,"Deposit","INTEREST PAID","",0.28,3383.13,""
08-25-2025,"Priority Post Debit","3500 VSA PUR VETERANS OF FOREI 816-968-1188 MO","",-20.95,3382.85,""
08-14-2025,"Priority Post Debit","3500 VSA PUR ZEFFY DEPTAL VFW ZEFFY.COM DE","",-240,3403.8,""
08-04-2025,"Deposit","VETERANS OF WARS PAYMENT","",10,3643.8,""
07-31-2025,"Deposit","INTEREST PAID","",0.31,3633.8,""
07-15-2025,"Priority Post Debit","3500 VSA PUR VOIP.MS VOIP.MS TERREBONNE CA","",-15,3633.49,""
07-15-2025,"Miscellaneous Charge","3500 CROSS BORDER FEE VOIP.MS VOIP.MS TERREBONNE CA","",-0.15,3648.49,""
06-30-2025,"Deposit","INTEREST PAID","",0.33,3648.64,""
06-17-2025,"On-Us Check","VFW VFW PMT","",-30,3648.31,""
06-17-2025,"On-Us Check","VFW VFW PMT","",-30,3678.31,""
06-17-2025,"On-Us Check","VFW VFW PMT","",-30,3708.31,""
06-17-2025,"Priority Post Debit","3500 VSA PUR USPS PO 0133300651 GADSDEN AL","",-43.8,3738.31,""
06-16-2025,"Priority Post Debit","3500 VSA PMT DB DEPTAL VFW ZEFFY.COM DE","",-120,3782.11,""
06-16-2025,"Priority Post Debit","3500 VSA PUR MARATHON PETRO232157 RAINBOW CITY AL","",-34.78,3902.11,""
06-16-2025,"Priority Post Debit","3500 VSA PUR RAILROAD THAI MONTGOMERY AL","",-33.67,3936.89,""
06-11-2025,"On-Us Check","CK # 3767","",-100,3970.56,""
06-03-2025,"On-Us Check","CK # 3769","",-50,4070.56,""
05-30-2025,"Deposit","INTEREST PAID","",0.34,4120.56,""
05-27-2025,"On-Us Check","CK # 3768","",-75,4120.22,""
05-20-2025,"On-Us Check","VFW VFW PMT","",-25,4195.22,""
05-06-2025,"Priority Post Debit","3500 VSA PUR DEPTAL VFW ZEFFY.COM DE","",-110,4220.22,""
05-05-2025,"Priority Post Debit","3500 VSA PMT DB DEPTAL VFW ZEFFY.COM DE","",-275,4330.22,""
05-05-2025,"Priority Post Debit","3500 VSA PUR DEPTAL VFW ZEFFY.COM DE","",-110,4605.22,""
05-02-2025,"Credit Memo; Immediate Credit","INTERNET TRANSFER FROM CHK 2364 TO CHK 1288 8008187","",3000,4715.22,""
04-30-2025,"Deposit","INTEREST PAID","",0.14,1715.22,""
04-16-2025,"On-Us Check","CK # 3766","",-50,1715.08,""
04-02-2025,"Deposit","VETERANS OF WARS PAYMENT","",10,1765.08,""
04-01-2025,"On-Us Check","CK # 3760","",-100,1755.08,""
03-31-2025,"Deposit","INTEREST PAID","",0.18,1855.08,""
03-25-2025,"On-Us Check","CK # 3762","",-100,1854.9,""
03-25-2025,"Priority Post Debit","CK # 3765","",-75,1954.9,""
03-24-2025,"On-Us Check","CK # 3763","",-100,2029.9,""
03-04-2025,"Deposit","VETERANS OF WARS PAYMENT","",10,2129.9,""
